trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,5,34.9278757,34.9278757,0.0277921,[-0.32592592592592595],[-0.10740740740740741],[1],[0],[0],[1.4374072999926284],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
1,0,1,0,5,36.3645083,36.3645083,0.0157562,[0.030555555555555555],[-0.375],[1],[0],[0],[1.3421430999878794],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
2,0,2,0,10,37.7388449,37.7388449,0.0264142,[0.08055555555555556],[-0.47314814814814815],[1],[0],[0],[2.2832016000174917],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
3,0,3,0,10,40.0552344,40.0552344,0.0288453,[0.007407407407407408],[0.26666666666666666],[1],[0],[0],[1.2161732999957167],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
4,0,4,0,5,41.2882311,41.2882311,0.0130447,[0.2712962962962963],[0.47129629629629627],[1],[0],[0],[1.2313185999519192],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
5,0,5,0,10,42.5475867,42.5475867,0.0259544,[0.14537037037037037],[0.4083333333333333],[1],[0],[0],[1.3035355000174604],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
6,0,6,0,10,43.8786456,43.8786456,0.0239525,[0.05648148148148148],[-0.06666666666666667],[1],[0],[0],[1.60494499997003],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
7,0,7,0,10,45.5146542,45.5146542,0.02412,[0.4462962962962963],[0.3638888888888889],[1],[0],[0],[1.3371854000142775],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
8,0,8,0,5,46.8690863,46.8690863,0.0144278,[0.01574074074074074],[-0.32314814814814813],[1],[0],[0],[1.1976225999533199],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
9,0,9,0,5,48.0892015,48.0892015,0.0183626,[0.11296296296296296],[0.5],[1],[0],[0],[1.675108099996578],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
10,0,10,0,10,49.7966238,49.7966238,0.0248515,[-0.27037037037037037],[0.2611111111111111],[1],[0],[0],[1.2840474999975413],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
11,0,11,0,5,51.0932698,51.0932698,0.0118022,[-0.49444444444444446],[-0.337037037037037],[1],[0],[0],[1.7173237999668345],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
12,0,12,0,10,52.8444699,52.8444699,0.0220715,[-0.38425925925925924],[-0.41944444444444445],[1],[0],[0],[1.550426299974788],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
13,0,13,0,5,54.4125981,54.4125981,0.0143346,[0.26666666666666666],[-0.3351851851851852],[1],[0],[0],[1.295788299990818],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
14,0,14,0,5,55.7278279,55.7278279,0.0148652,[-0.19907407407407407],[0.4212962962962963],[1],[0],[0],[1.3644393000286072],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
15,0,15,0,5,57.1161312,57.1161312,0.0184739,[0.4046296296296296],[-0.14166666666666666],[1],[0],[0],[1.190098899998702],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
