trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,10,16.5724159,16.5724159,0.0578539,[-0.13148148148148148],[-0.10925925925925926],[1],[0],[0],[4.1186266999998224],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
1,0,1,0,5,20.7087022,20.7087022,0.0229582,[-0.024074074074074074],[0.19907407407407407],[1],[0],[0],[2.4154928000002656],[],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
2,0,2,0,10,23.1780052,23.1780052,0.0454025,[-0.15462962962962962],[0.12314814814814815],[1],[0],[0],[1.113452800000232],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
3,0,3,0,5,24.3196054,24.3196054,0.0228465,[0.39444444444444443],[-0.003703703703703704],[1],[0],[0],[1.4714883000001464],[],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
4,0,4,0,5,25.8209321,25.8209321,0.0258805,[0.12407407407407407],[-0.12777777777777777],[1],[0],[0],[1.1830595999999787],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
5,0,5,0,5,27.0345846,27.0345846,0.0212761,[-0.1287037037037037],[0.17777777777777778],[1],[0],[0],[2.137652099999741],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
6,0,6,0,10,29.2277339,29.2277339,0.0470033,[-0.1824074074074074],[-0.487962962962963],[1],[0],[0],[2.3126083000001927],[],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
7,0,7,0,10,31.5936833,31.5936833,0.0461874,[0.2833333333333333],[-0.09907407407407408],[1],[0],[0],[1.581123999999818],[],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
8,0,8,0,10,33.2274516,33.2274516,0.0448026,[-0.23981481481481481],[0.49166666666666664],[1],[0],[0],[2.38077659999999],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
9,0,9,0,5,35.6345658,35.6345658,0.0223022,[-0.5231481481481481],[-0.44722222222222224],[1],[0],[0],[2.269773399999849],[],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
10,0,10,0,5,37.9353949,37.9353949,0.0240062,[-0.48148148148148145],[0.40925925925925927],[1],[0],[0],[2.735686099999839],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
11,0,11,0,5,40.7023908,40.7023908,0.0216159,[-0.21944444444444444],[-0.2916666666666667],[1],[0],[0],[2.219571099999939],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
12,0,12,0,5,42.9495619,42.9495619,0.0252356,[-0.2740740740740741],[-0.14814814814814814],[1],[0],[0],[1.401977800000168],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
13,0,13,0,10,44.4068016,44.4068016,0.0454621,[0.05925925925925926],[0.06018518518518518],[1],[0],[0],[3.081475500000124],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
14,0,14,0,10,47.544838,47.544838,0.0488658,[0.13240740740740742],[-0.225],[1],[0],[0],[2.01013520000015],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
