trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,10,17.2827029,17.2827029,0.0770642,[-0.020370370370370372],[-0.49907407407407406],[1],[0],[0],[1.9739380000000892],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
1,0,1,0,5,19.2709122,19.2709122,0.0236727,[-0.1037037037037037],[-0.37592592592592594],[1],[0],[0],[1.381394900000032],[],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
2,0,2,0,10,21.0943073,21.0943073,0.4331225,[-0.13425925925925927],[-0.3574074074074074],[1],[0],[0],[0.14402210000025661],[],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
3,0,3,0,10,21.2988496,21.2988496,0.0521294,[-0.022222222222222223],[0.15833333333333333],[1],[0],[0],[1.174272000000201],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
4,0,4,0,5,22.50137,22.50137,0.0234356,[-0.06296296296296296],[0.27037037037037037],[1],[0],[0],[1.31801889999997],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
5,0,5,0,5,23.8479309,23.8479309,0.0256035,[-0.1287037037037037],[0.34629629629629627],[1],[0],[0],[1.4354631999999583],[],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
6,0,6,0,5,25.3176656,25.3176656,0.0268463,[0.4740740740740741],[0.25555555555555554],[1],[0],[0],[1.3981048000000555],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
7,0,7,0,10,26.7708935,26.7708935,0.0432045,[-0.32037037037037036],[-0.16018518518518518],[1],[0],[0],[2.2005950999996458],[],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
8,0,8,0,10,29.021323,29.021323,0.0462656,[-0.29444444444444445],[-0.12222222222222222],[1],[0],[0],[1.1131812999997237],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
9,0,9,0,5,30.1673574,30.1673574,0.0270688,[0.30092592592592593],[-0.337037037037037],[1],[0],[0],[2.715415000000121],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
10,0,10,0,10,32.9388886,32.9388886,0.0470982,[0.06574074074074074],[0.15462962962962962],[1],[0],[0],[1.761717000000317],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
11,0,11,0,5,34.7304026,34.7304026,0.0235665,[-0.32222222222222224],[-0.007407407407407408],[1],[0],[0],[2.003267600000072],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
12,0,12,0,5,36.7643165,36.7643165,0.0244,[0.03888888888888889],[-0.42592592592592593],[1],[0],[0],[2.650419800000236],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
13,0,13,0,10,39.4678195,39.4678195,0.0419997,[-0.04722222222222222],[0.09351851851851851],[1],[0],[0],[2.3525399000000107],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
14,0,14,0,5,41.8456553,41.8456553,0.0258134,[-0.02962962962962963],[-0.26851851851851855],[1],[0],[0],[2.551078800000141],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
